,HIP,TYC,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,dist,M_V,Type,Lstar,pmRA,pmDec,BmV,angdiam
2317,33646,,104.844,25.2357,,9.55,9.03,,8.44,7.928,7.693,7.626,49.2854,5.56641,F8V,0.502732,46.11,-25.87,0.5200000000000014,0.11537846705364069
2318,33654,,104.872,-17.2547,,11.064,10.01,,8.9,8.05,7.474,7.383,42.6341,6.86121,?,0.225889,-264.446,180.42,1.0540000000000003,0.15235416085076298
2319,33671,,104.931,-29.7078,,8.313,7.78,,7.17,6.755,6.525,6.474,48.5739,4.34799,F7V,1.55373,-0.729,-124.363,0.5330000000000004,0.20834641521531727
2320,33690,,104.999,-61.3362,8.035,7.596,6.81,6.375,5.99,5.459,5.097,4.987,18.3602,5.49061,K0IV-V,0.619009,-162.071,264.641,0.7860000000000005,0.44304854205863525
2321,33691,,105.011,-31.2281,,9.177,8.44,,7.66,7.091,6.78,6.654,38.3558,5.52085,G8V,0.577646,18.893,36.119,0.7370000000000001,0.19636382160614252
2322,33705,,105.041,-31.1417,,7.058,6.62,,6.11,5.778,5.526,5.467,38.1233,3.71405,A4/A5IV,2.70633,18.789,35.596,0.4379999999999997,0.3171652522514413
2323,33719,,105.075,-5.36716,,6.862,6.29,,5.65,5.242,5.033,4.953,30.0062,3.90394,G0III-IV,2.37157,-116.524,80.467,0.5720000000000001,0.43320786468555905
2324,33736,,105.123,-41.3798,,9.369,8.47,,7.53,6.916,6.496,6.397,32.5686,5.906,K1V,0.454648,41.316,215.106,0.8989999999999991,0.24135864728716103
2325,33762,,105.183,-12.1061,,13.719,11.94,11.398,9.73,9.067,8.454,8.215,43.6803,8.73857,M2,0.420205,-7.563,-65.485,1.779,0.355921588215064
2326,33799,,105.269,-21.9647,,8.194,7.66,,7.05,6.673,6.426,6.348,46.1802,4.33772,G1V,1.56917,-10.423,53.833,0.5340000000000007,0.2204436865250111
2327,33805,,105.276,59.8333,,12.406,10.93,10.445,9.33,8.129,7.543,7.355,22.1395,9.20416,M0,0.0656707,-167.74,13.287,1.4760000000000009,0.2485435592098512
2328,33817,,105.307,-25.9487,8.203,7.592,6.71,,5.8,5.152,4.845,4.636,14.673,5.87741,K1V,0.462853,212.031,40.78,0.8819999999999997,0.5295244284944511
2329,33818,,105.31,15.9138,,11.27,10.13,,9.03,8.291,7.852,7.673,49.6133,6.65201,K8,0.328438,-49.454,-23.919,1.1399999999999988,0.1687998645186532
2330,33848,,105.398,6.92684,,9.023,8.16,,7.25,6.647,6.222,6.149,28.1888,5.90962,K2V,0.444548,-30.559,27.777,0.8629999999999995,0.26428362903499797
2331,33852,,105.411,48.3787,,8.966,7.98,7.4,6.95,6.233,5.75,5.627,20.3287,6.43945,K3V,0.30735,546.832,-432.401,0.9859999999999989,0.34600224209130453
2332,33932,,105.619,79.1644,,8.937,8.31,,7.62,7.206,6.896,6.853,49.9443,4.81757,G0,1.04319,-6.104,-81.094,0.6269999999999989,0.18232789416732273
2333,33933,,105.621,-14.677,,11.696,10.51,,9.2,8.352,7.815,7.635,43.5557,7.31477,?,0.197192,117.74,-302.103,1.186,0.15511538682754566
2334,33955,,105.679,-6.79923,10.45,9.458,8.38,7.708,7.24,6.446,5.867,5.755,19.1137,6.97328,K5V,0.209583,-201.306,-313.602,1.0779999999999994,0.3367736107589742
2335,34017,,105.877,29.3371,6.57,6.525,5.93,5.6,5.19,4.89,4.61,4.54,18.9508,4.54186,G4V,1.3269,156.912,-828.039,0.5950000000000006,0.5253377690634901
2336,34024,,105.89,71.7581,,7.671,7.15,,6.56,6.11,5.898,5.816,37.2994,4.29149,F8,1.62744,31.127,55.076,0.5209999999999999,0.2745604077321081
2337,34025,,105.891,39.6759,,10.603,9.58,9.0,8.51,7.561,7.039,6.904,49.4315,6.10998,M0,0.435145,-131.94,-109.893,1.0229999999999997,0.1760734175161964
2338,34034,,105.909,17.8584,,12.155,10.5,10.044,7.76,8.193,7.614,7.5,38.139,7.59316,K6,0.778549,-43.198,-55.109,1.6549999999999994,0.4883514050787962
2339,34052,,105.959,-43.5613,11.01,9.85,8.67,7.949,7.32,6.451,5.831,5.704,17.3029,7.47941,K5V...,0.167715,-91.391,434.521,1.1799999999999997,0.3576235008486517
2340,34065,,105.989,-43.608,,6.184,5.56,5.05,4.83,4.52,4.18,4.14,17.0529,4.40101,G3V...,1.53004,-105.06,389.55,0.6240000000000006,0.6446268743529605
2341,34069,,105.996,-43.6113,7.978,7.609,6.83,6.427,6.0,5.458,5.079,4.943,17.0533,5.67095,K0V,0.522519,-101.764,382.276,0.7789999999999999,0.4349785240875365
2342,34085,,106.016,75.2275,,7.744,7.15,6.8,6.49,6.139,5.916,5.846,39.1543,4.1861,G0,1.84034,-91.209,-255.81,0.5939999999999994,0.29917648324905854
2343,34087,,106.024,75.2306,,8.99,8.24,7.7,7.45,6.995,6.647,6.54,39.2918,5.26849,G5,0.735402,-86.461,-254.366,0.75,0.21888705500609745
2344,34095,,106.044,5.21295,,9.886,9.08,,8.25,7.573,7.223,7.108,42.8951,5.91796,G5,0.419645,-49.482,7.733,0.8059999999999992,0.1599462919771985
